Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44420185,"The Mayor of Noobtown (Noobtown, #1)",Ryan Rimmel,"Rimmel, Ryan",,"=""""","=""""",0,4.13,,Kindle Edition,292,2019,2019,,2023/10/05,to-read,to-read (#388),to-read,,,,0,0
156741649,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""0593717260""","=""9780593717264""",0,4.34,Riverhead Books,Hardcover,352,2023,2003,,2023/10/03,to-read,to-read (#387),to-read,,,,0,0
21888427,Necronomicon: The Best Weird Tales of H.P. Lovecraft,H.P. Lovecraft,"Lovecraft, H.P.",,"=""1483013499""","=""9781483013497""",3,4.18,Blackstone Audio,Audio CD,1,2014,2008,2019/03/03,2018/12/05,,,read,,,,1,0
57905101,"The Gate of the Feral Gods (Dungeon Crawler Carl, #4)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.60,Dandy House,Kindle Edition,632,2021,2021,2023/09/30,2023/09/27,,,read,,,,1,0
57001971,"The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl, #3)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.53,Dandy House,Kindle Edition,534,2021,2021,2023/09/27,2023/09/23,,,read,,,,1,0
56377548,"Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",3,4.57,Dandy House,Kindle Edition,364,2021,2021,2023/09/23,2023/09/21,,,read,,,,1,0
39678729,"The Land of the Undying (Dark Elf Chronicles, #1)",Dave Willmarth,"Willmarth, Dave",,"=""""","=""""",0,4.36,,Kindle Edition,409,2018,,,2023/09/21,to-read,to-read (#386),to-read,,,,0,0
52272548,"The Land of the Undying Lord (The Infinite World, #1)",J.T.  Wright,"Wright, J.T.",,"=""""","=""""",0,4.24,,Kindle Edition,517,2020,2020,,2023/09/21,to-read,to-read (#385),to-read,,,,0,0
35962125,"Life Reset (New Era Online, #1)",Shemer Kuznits,"Kuznits, Shemer","Georgi Markov, Samuel K Bragdon","=""""","=""""",0,4.32,,Kindle Edition,718,2017,,,2023/09/21,to-read,to-read (#384),to-read,,,,0,0
29544418,Dark Money: How a Secretive Group of Billionaires is Trying to Buy Political Control in the US,Jane Mayer,"Mayer, Jane",,"=""1925307808""","=""9781925307801""",0,4.30,Scribe,Kindle Edition,576,2016,2016,,2023/09/21,currently-reading,currently-reading (#3),currently-reading,,,,1,0
