Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
204792924,The Primal Hunter 9 (The Primal Hunter #9),Zogarth,"Zogarth, Zogarth",,"=""""","=""""",0,4.70,Aethon Books,Kindle Edition,598,2024,2024,,2024/05/02,to-read,to-read (#458),to-read,,,,0,0,,Litrpg|49;Fantasy|29;Audiobooks|8;Fiction|7,3508
63921744,"The Primal Hunter 5 (The Primal Hunter, #5)",Zogarth,"Zogarth, Zogarth",,"=""""","=""""",4,4.56,Aethon Books,Kindle Edition,674,2023,2023,2024/05/01,2024/04/29,,,read,,,,1,0,"2024-04-29,2024-05-01",Litrpg|133;Fantasy|72;Lit Rpg|20,6639
61868425,"The Primal Hunter 4 (The Primal Hunter, #4)",Zogarth,"Zogarth, Zogarth",,"=""""","=""""",4,4.55,Aethon Books,Kindle Edition,806,2022,2022,2024/04/27,2024/04/22,,,read,,,,1,0,"2024-04-22,2024-04-27",Litrpg|169;Fantasy|84;Lit Rpg|25;Audible|20,7159
169481,Image and Reality of the Israel-Palestine Conflict,Norman G. Finkelstein,"Finkelstein, Norman G.",,"=""1859844421""","=""9781859844427""",0,4.31,Verso Books,Paperback,256,2003,1995,,2024/04/25,to-read,to-read (#457),to-read,,,,0,0,,Palestine|99;Politics|74;History|58;Israel Palestine|49;Non Fiction|45;Middle East|27;Nonfiction|20;Israel|12;Palestine Israel|10,612
60888209,"Beware of Chicken (Beware of Chicken, #1)",CasualFarmer,"CasualFarmer, CasualFarmer",,"=""1039413994""","=""9781039413993""",0,4.56,Podium Publishing,Kindle Edition,485,2022,2022,,2024/04/25,to-read,to-read (#456),to-read,,,,0,0,,Fantasy|299;Litrpg|94;Cultivation|67;Kindle Unlimited|41;Fiction|38;Humor|36;Xianxia|35;Slice Of Life|31,8320
61252305,"The Primal Hunter 3 (The Primal Hunter, #3)",Zogarth,"Zogarth, Zogarth",,"=""""","=""""",4,4.55,Aethon Books,Kindle Edition,668,2022,2022,2024/04/22,2024/04/18,,,read,,,,1,0,"2024-04-18,2024-04-22",Litrpg|185;Fantasy|95;Lit Rpg|26;Audible|23,7603
10408011,Chavs: The Demonization of the Working Class,Owen   Jones,"Jones, Owen",,"=""184467696X""","=""9781844676965""",5,4.09,Verso,Paperback,298,2011,2011,2024/04/18,2024/04/16,,,read,"It's always wonderful when are informed in clear terms that you are wrong. This was the case with me reading this book - I always bought into the ""neds will be neds"" (neds being Scottish chavs) but I see now the propaganda I ingested and spread. Insightful and well argued points. ",,,1,0,"2024-04-16,2024-04-18",Non Fiction|649;Politics|357;Sociology|123;Nonfiction|118,9617
112204,The Complete Poems of Emily Dickinson,Emily Dickinson,"Dickinson, Emily","Thomas H. Johnson, Mabel Loomis Todd, Thomas Wentworth Higgins","=""""","=""""",0,4.28,"Little, Brown and Company",Paperback,716,1976,1890,,2024/04/18,to-read,to-read (#455),to-read,,,,0,0,,Poetry|7093;Classics|1606,99196
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,"=""0440242940""","=""9780440242949""",0,4.26,Dell Publishing Company,Mass Market Paperback,850,2005,1991,,2024/04/18,to-read,to-read (#454),to-read,,,,0,0,,Historical Fiction|13116;Romance|10016;Fantasy|8704;Fiction|6122;Time Travel|4018;Historical|3826;Historical Romance|2517;Books I Own|2462;Series|2433,1072437
18521,A Room of One’s Own,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",0,4.21,Penguin Books,Paperback,112,2000,1929,,2024/04/18,to-read,to-read (#452),to-read,,,,0,0,,Classics|7318;Non Fiction|5325;Feminism|4028;Nonfiction|2139;Essays|1742;Fiction|998;Books I Own|871,214754
